Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5501000,1.2043312,9.936003,None,None,None,1.0
5502000,1.2121229,9.856379,None,None,None,1.0
5503000,1.2042923,9.918749,None,None,None,1.0
5504000,1.1919774,9.940974,None,None,None,1.0
5505000,1.2683386,9.920363,None,None,None,1.0
5506000,1.2337316,9.935927,None,None,None,1.0
5507000,1.1421978,9.91735,None,None,None,1.0
5508000,1.1525643,9.940873,None,None,None,1.0
5509000,1.219994,9.947584,None,None,None,1.0
5510000,1.2910652,9.948617,3565.5,None,None,1.0
5511000,1.3619896,9.234297,None,355.5700492858887,355.5700492858887,1.0
5512000,1.1874245,9.946463,3701.0,None,None,1.0
5513000,1.2156584,9.270882,None,369.2000503540039,369.2000503540039,1.0
5514000,1.2677177,9.934613,None,None,None,1.0
5515000,1.1759185,9.948104,None,None,None,1.0
5516000,1.2149156,9.935629,None,None,None,1.0
5517000,1.271507,9.933005,None,None,None,1.0
5518000,1.3125222,9.900254,None,None,None,1.0
5519000,1.2537643,9.944479,None,None,None,1.0
5520000,1.3210723,9.95371,None,None,None,1.0
5521000,1.2696502,9.947651,None,None,None,1.0
5522000,1.217891,9.845169,3453.0,344.32005310058594,344.32005310058594,1.0
5523000,1.223165,9.936166,None,None,None,1.0
5524000,1.2074018,9.947698,3860.0,None,None,1.0
5525000,1.2685937,9.410504,None,385.1000518798828,385.1000518798828,1.0
5526000,1.2824849,9.907459,None,None,None,1.0
5527000,1.2151275,9.955093,None,None,None,1.0
5528000,1.3054668,9.737704,3960.5,None,None,1.0
5529000,1.2682493,9.914053,None,None,None,1.0
5530000,1.3073082,9.55496,None,327.7000427246094,327.7000427246094,1.0
5531000,1.4127204,9.560835,2740.0,462.56006240844727,462.56006240844727,1.0
5532000,1.3223152,8.777536,None,273.10003662109375,273.10003662109375,1.0
5533000,1.2923627,6.327701,2251.0,334.4600479006767,334.4600479006767,1.0
5534000,1.3246342,5.4793944,None,3.59999942779541,3.59999942779541,1.0
5535000,1.3167647,7.437934,54.0,4.499999046325684,4.499999046325684,1.0
5536000,1.349521,9.577833,3916.0,390.62005615234375,390.62005615234375,1.0
5537000,1.320809,9.926101,None,None,None,1.0
5538000,1.3166234,9.9107275,3918.0,None,None,1.0
5539000,1.2980759,9.7802725,None,390.8800506591797,390.8800506591797,1.0
5540000,1.2651042,9.835119,3649.0,None,None,1.0
5541000,1.2773093,9.246722,None,363.9200439453125,363.9200439453125,1.0
5542000,1.2945015,9.809695,None,None,None,1.0
5543000,1.2863976,9.92286,None,None,None,1.0
5544000,1.2313236,9.875961,None,None,None,1.0
5545000,1.1940627,9.954994,None,None,None,1.0
5546000,1.1687448,9.896462,None,None,None,1.0
5547000,1.2378663,9.800418,None,None,None,1.0
5548000,1.2388992,9.930101,3755.0,None,None,1.0
5549000,1.2990738,9.102295,3380.0,355.81005096435547,355.81005096435547,1.0
5550000,1.3349568,9.821299,None,None,None,1.0
5551000,1.3084611,9.922274,None,None,None,1.0
5552000,1.2905483,9.872874,3435.0,None,None,1.0
5553000,1.3020267,8.949415,4065.5,342.5200500488281,342.5200500488281,1.0
5554000,1.2637699,9.011211,None,433.0900630950928,433.0900630950928,1.0
5555000,1.3428155,8.648842,None,378.1900568008423,378.1900568008423,1.0
5556000,1.3755106,9.870516,79.0,None,None,1.0
5557000,1.3259623,6.745569,None,6.980000019073486,6.980000019073486,1.0
